time x1 y1 x2 y2
1.390000000000000124e+00 -3.136233677073865245e-01 -2.482748139217456351e-01 -6.047406821985448211e-01 2.604381323189133846e-02
1.391000000000000014e+00 -3.191287769801372520e-01 -2.411572592794208880e-01 -6.222344424965151610e-01 1.985414953612041344e-02
1.392000000000000126e+00 -3.233598940144287726e-01 -2.354535600558577413e-01 -6.368744920588076397e-01 1.295859104201335654e-02
1.393000000000000016e+00 -3.265852492439217380e-01 -2.309590331125534191e-01 -6.492198896991870916e-01 5.487343003262035168e-03
1.394000000000000128e+00 -3.290031127279967604e-01 -2.275015424459559399e-01 -6.596861331754666491e-01 -2.448793100967489034e-03
1.395000000000000018e+00 -3.307614929813831317e-01 -2.249374018715573076e-01 -6.685866378844131930e-01 -1.075483612157215885e-02
1.396000000000000130e+00 -3.319722160998972993e-01 -2.231466955563606303e-01 -6.761619446800356537e-01 -1.934917167559632722e-02
1.397000000000000020e+00 -3.327207823773485895e-01 -2.220290093078042537e-01 -6.825999789052163980e-01 -2.816166332861747001e-02
1.398000000000000131e+00 -3.330733007051875916e-01 -2.214998337637112680e-01 -6.880500987811519753e-01 -3.713206861010323601e-02
1.399000000000000021e+00 -3.330814152609263834e-01 -2.214876312749277654e-01 -6.926329129665608209e-01 -4.620865222257486415e-02
1.400000000000000133e+00 -3.327858478470522297e-01 -2.219314747229843288e-01 -6.964472259501136575e-01 -5.534695540566533789e-02
1.401000000000000023e+00 -3.322189772096619254e-01 -2.227791533823714198e-01 -6.995750242576399547e-01 -6.450870542292508336e-02
1.402000000000000135e+00 -3.314067408132135295e-01 -2.239856516466257053e-01 -7.020851133376895259e-01 -7.366085614499925938e-02
1.403000000000000025e+00 -3.303700540333210922e-01 -2.255119229620032861e-01 -7.040358134390340972e-01 -8.277475104189049859e-02
1.404000000000000137e+00 -3.291258813250588777e-01 -2.273238972083737597e-01 -7.054769898026431729e-01 -9.182539851671439601e-02
1.405000000000000027e+00 -3.276880533225524639e-01 -2.293916731480810101e-01 -7.064516046940684246e-01 -1.007908482967721508e-01
1.406000000000000139e+00 -3.260678962579686702e-01 -2.316888582342763458e-01 -7.069969205283931357e-01 -1.096516570684745728e-01
1.407000000000000028e+00 -3.242747211531932239e-01 -2.341920263822378778e-01 -7.071454443296238956e-01 -1.183904316852865679e-01
1.407999999999999918e+00 -3.223162070728763928e-01 -2.368802707237449567e-01 -7.069256773701573238e-01 -1.269914389088375450e-01
1.409000000000000030e+00 -3.201987034602441495e-01 -2.397348333104278861e-01 -7.063627157530191214e-01 -1.354402715636832677e-01
1.409999999999999920e+00 -3.179274699707251295e-01 -2.427387975541068776e-01 -7.054787351408565721e-01 -1.437235620343623732e-01
1.411000000000000032e+00 -3.155068674479296620e-01 -2.458768321603207740e-01 -7.042933839816336583e-01 -1.518287350951066650e-01
1.411999999999999922e+00 -3.129405101945749168e-01 -2.491349776309203234e-01 -7.028241032346861372e-01 -1.597437930648068494e-01
1.413000000000000034e+00 -3.102313870962393194e-01 -2.525004682378694798e-01 -7.010863859664030473e-01 -1.674571271804750072e-01
1.413999999999999924e+00 -3.073819571936227679e-01 -2.559615838203418425e-01 -6.990939867262347951e-01 -1.749573498603684829e-01
1.415000000000000036e+00 -3.043942237823851760e-01 -2.595075269195851742e-01 -6.968590879637808211e-01 -1.822331431751731956e-01
1.415999999999999925e+00 -3.012697899138787605e-01 -2.631283217087195259e-01 -6.943924286492391129e-01 -1.892731193615093677e-01
1.417000000000000037e+00 -2.980098971752545012e-01 -2.668147319500822623e-01 -6.917033985267606599e-01 -1.960656895990249837e-01
1.417999999999999927e+00 -2.946154487663890098e-01 -2.705581958621457450e-01 -6.888000999229439980e-01 -2.025989375334597831e-01
1.419000000000000039e+00 -2.910870171008833052e-01 -2.743507763344403272e-01 -6.856893776378325533e-01 -2.088604941647355107e-01
1.419999999999999929e+00 -2.874248353836034719e-01 -2.781851254195817913e-01 -6.823768160643159941e-01 -2.148374107300829172e-01
1.421000000000000041e+00 -2.836287718043750128e-01 -2.820544624797519107e-01 -6.788667012177864724e-01 -2.205160260924076132e-01
1.421999999999999931e+00 -2.796982840797375691e-01 -2.859525657916893726e-01 -6.751619437082767572e-01 -2.258818248839652432e-01
1.423000000000000043e+00 -2.756323510064035975e-01 -2.898737778390496622e-01 -6.712639567316021072e-01 -2.309192822403166589e-01
1.423999999999999932e+00 -2.714293763799046633e-01 -2.938130249631831226e-01 -6.671724807436667515e-01 -2.356116903690989584e-01
1.425000000000000044e+00 -2.670870589742418977e-01 -2.977658525225648778e-01 -6.628853434164233560e-01 -2.399409614061432938e-01
1.425999999999999934e+00 -2.626022201316491889e-01 -3.017284772472245136e-01 -6.583981394906701645e-01 -2.438873999859266228e-01
1.427000000000000046e+00 -2.579705776822367458e-01 -3.056978590868654755e-01 -6.537038098780885154e-01 -2.474294376578946575e-01
1.427999999999999936e+00 -2.531864511331395895e-01 -3.096717955555629009e-01 -6.487920923218508662e-01 -2.505433196774489168e-01
1.429000000000000048e+00 -2.482423779616506898e-01 -3.136490423768977243e-01 -6.436488064040890578e-01 -2.532027327592309418e-01
1.429999999999999938e+00 -2.431286138931963992e-01 -3.176294651104853983e-01 -6.382549227158325067e-01 -2.553783600905840667e-01
1.431000000000000050e+00 -2.378324805123585017e-01 -3.216142273179758426e-01 -6.325853482252464799e-01 -2.570373473031345446e-01
1.431999999999999940e+00 -2.323375104332595087e-01 -3.256060215132315916e-01 -6.266073354232504222e-01 -2.581426603283485943e-01
1.433000000000000052e+00 -2.266223221748991934e-01 -3.296093492182165519e-01 -6.202783891606562516e-01 -2.586523134479339348e-01
1.433999999999999941e+00 -2.206591320615156615e-01 -3.336308550447014687e-01 -6.135434989153591978e-01 -2.585184440738470535e-01
1.435000000000000053e+00 -2.144117767464090996e-01 -3.376797151035993427e-01 -6.063314615393222695e-01 -2.576862111684450340e-01
1.435999999999999943e+00 -2.078330751996537717e-01 -3.417680688025946378e-01 -5.985499762495838372e-01 -2.560924991579219268e-01
1.437000000000000055e+00 -2.008613023007334297e-01 -3.459114586683323389e-01 -5.900790876201108537e-01 -2.536644229919539084e-01
1.437999999999999945e+00 -1.934154811387377160e-01 -3.501291928072702286e-01 -5.807624288855259831e-01 -2.503176600505447880e-01
1.439000000000000057e+00 -1.853891438175954975e-01 -3.544444460766438820e-01 -5.703956028924134225e-01 -2.459546932394725549e-01
1.439999999999999947e+00 -1.766422076666590568e-01 -3.588837283447787185e-01 -5.587110080582835536e-01 -2.404631567902342781e-01
1.441000000000000059e+00 -1.669907810656744152e-01 -3.634750046964385639e-01 -5.453586625691799750e-01 -2.337146631180147816e-01
1.441999999999999948e+00 -1.561953092524932529e-01 -3.682431606527377110e-01 -5.298835298082986700e-01 -2.255648027359334895e-01
1.443000000000000060e+00 -1.439490107781392914e-01 -3.732005925718703265e-01 -5.117023627661989593e-01 -2.158555192408432022e-01
1.443999999999999950e+00 -1.298718893168756827e-01 -3.783296081002188727e-01 -4.900886238087228675e-01 -2.044218618896774808e-01
1.445000000000000062e+00 -1.135215774772049824e-01 -3.835529317409618888e-01 -4.641842113865603525e-01 -1.911062711314479856e-01
1.445999999999999952e+00 -9.443986921141978019e-02 -3.886915372159907567e-01 -4.330704734331555783e-01 -1.757847174933192258e-01
1.447000000000000064e+00 -7.225538549383291043e-02 -3.934198257169275181e-01 -3.959365996943479127e-01 -1.584081843591421124e-01
1.447999999999999954e+00 -4.683990266063383506e-02 -3.972480629515295347e-01 -3.523497019241115247e-01 -1.390547970556321178e-01
1.449000000000000066e+00 -1.845519255977563430e-02 -3.995740305219817601e-01 -3.025292501026217717e-01 -1.179680472205899555e-01
1.449999999999999956e+00 1.222705866283714873e-02 -3.998130801217683050e-01 -2.474229399391732753e-01 -9.554037640686718902e-02
1.451000000000000068e+00 4.429445287949840271e-02 -3.975399369171679909e-01 -1.884520732772385632e-01 -7.222615829417239341e-02
1.451999999999999957e+00 7.685491736615157610e-02 -3.925472222250999677e-01 -1.270650918576006483e-01 -4.843004764907737902e-02
1.453000000000000069e+00 1.092177250680596706e-01 -3.848005828100546921e-01 -6.439597028867218020e-02 -2.444203249581566872e-02
1.453999999999999959e+00 1.409190688932995539e-01 -3.743552003408601170e-01 -1.185492352985512143e-03 -4.484022306882606834e-04
1.455000000000000071e+00 1.716365813853877320e-01 -3.613044200260179251e-01 6.208411780050053508e-02 2.340099678336621247e-02
1.455999999999999961e+00 2.010683731271025732e-01 -3.457911354098313073e-01 1.249580641115126123e-01 4.690113706513276970e-02
1.457000000000000073e+00 2.288328815061625443e-01 -3.280785155135681475e-01 1.867753278051929589e-01 6.970429228069802141e-02
1.457999999999999963e+00 2.544338666495326584e-01 -3.086477077539501734e-01 2.465220421970636955e-01 9.127403838375780509e-02
1.459000000000000075e+00 2.773267838814550412e-01 -2.882531091627091868e-01 3.028814597446590207e-01 1.109297543741998848e-01
